,age,workclass,education,gender
0,39, State-gov, Bachelors, Male
1,50, Self-emp-not-inc, Bachelors, Male
2,38, Private, HS-grad, Male
3,53, Private, 11th, Male
4,28, Private, Bachelors, Female
5,37, Private, Masters, Female
6,49, Private, 9th, Female
7,52, Self-emp-not-inc, HS-grad, Male
8,31, Private, Masters, Female
9,42, Private, Bachelors, Male
10,37, Private, Some-college, Male
11,30, State-gov, Bachelors, Male
12,23, Private, Bachelors, Female
13,32, Private, Assoc-acdm, Male
14,40, Private, Assoc-voc, Male
15,34, Private, 7th-8th, Male
16,25, Self-emp-not-inc, HS-grad, Male
17,32, Private, HS-grad, Male
18,38, Private, 11th, Male
19,43, Self-emp-not-inc, Masters, Female
20,40, Private, Doctorate, Male
21,54, Private, HS-grad, Female
22,35, Federal-gov, 9th, Male
23,43, Private, 11th, Male
24,59, Private, HS-grad, Female
25,56, Local-gov, Bachelors, Male
26,19, Private, HS-grad, Male
27,54, ?, Some-college, Male
28,39, Private, HS-grad, Male
29,49, Private, HS-grad, Male
30,23, Local-gov, Assoc-acdm, Male
31,20, Private, Some-college, Male
32,45, Private, Bachelors, Male
33,30, Federal-gov, Some-college, Male
34,22, State-gov, Some-college, Male
35,48, Private, 11th, Male
36,21, Private, Some-college, Male
37,19, Private, HS-grad, Female
38,31, Private, Some-college, Male
39,48, Self-emp-not-inc, Assoc-acdm, Male
40,31, Private, 9th, Male
41,53, Self-emp-not-inc, Bachelors, Male
42,24, Private, Bachelors, Male
43,49, Private, HS-grad, Female
44,25, Private, HS-grad, Male
45,57, Federal-gov, Bachelors, Male
46,53, Private, HS-grad, Male
47,44, Private, Masters, Female
48,41, State-gov, Assoc-voc, Male
49,29, Private, Assoc-voc, Male
50,25, Private, Some-college, Female
51,18, Private, HS-grad, Female
52,47, Private, Prof-school, Female
53,50, Federal-gov, Bachelors, Male
54,47, Self-emp-inc, HS-grad, Male
55,43, Private, Some-college, Male
56,46, Private, 5th-6th, Male
57,35, Private, Assoc-voc, Male
58,41, Private, HS-grad, Male
59,30, Private, HS-grad, Male
60,30, Private, Bachelors, Male
61,32, ?, 7th-8th, Male
62,48, Private, HS-grad, Male
63,42, Private, Doctorate, Male
64,29, Private, Some-college, Male
65,36, Private, HS-grad, Male
66,28, Private, Some-college, Female
67,53, Private, HS-grad, Female
68,49, Self-emp-inc, Some-college, Male
69,25, ?, Some-college, Male
70,19, Private, Some-college, Male
71,31, Private, Bachelors, Female
72,29, Self-emp-not-inc, Bachelors, Male
73,23, Private, Some-college, Male
74,79, Private, Some-college, Male
75,27, Private, HS-grad, Male
76,40, Private, Assoc-acdm, Male
77,67, ?, 10th, Male
78,18, Private, 11th, Female
79,31, Local-gov, 7th-8th, Male
80,18, Private, HS-grad, Male
81,52, Private, Bachelors, Male
82,46, Private, HS-grad, Female
83,59, Private, HS-grad, Male
84,44, Private, HS-grad, Female
85,53, Private, HS-grad, Female
86,49, Local-gov, HS-grad, Male
87,33, Private, Masters, Male
88,30, Private, 9th, Male
89,43, Federal-gov, Doctorate, Female
90,57, Private, Assoc-voc, Male
91,37, Private, Some-college, Female
92,28, Private, Some-college, Female
93,30, Private, HS-grad, Female
94,34, Local-gov, Bachelors, Male
95,29, Local-gov, Some-college, Male
96,48, Self-emp-not-inc, Doctorate, Male
97,37, Private, Some-college, Male
98,48, Private, Assoc-acdm, Female
99,32, Federal-gov, HS-grad, Male
100,76, Private, Masters, Male
101,44, Private, Bachelors, Male
102,47, Self-emp-not-inc, Masters, Female
103,20, Private, Some-college, Female
104,29, Private, HS-grad, Male
105,32, Self-emp-inc, HS-grad, Male
106,17, ?, 10th, Female
107,30, Private, 11th, Male
108,31, Local-gov, HS-grad, Female
109,42, Private, HS-grad, Male
110,24, Private, Bachelors, Male
111,38, Private, Prof-school, Male
112,56, Self-emp-not-inc, HS-grad, Male
113,28, Private, Some-college, Female
114,36, Private, HS-grad, Female
115,53, Private, 9th, Male
116,56, Self-emp-inc, Some-college, Male
117,49, Local-gov, Assoc-voc, Male
118,55, Private, Some-college, Male
119,22, Private, HS-grad, Male
120,21, Private, Some-college, Female
121,40, Private, Bachelors, Male
122,30, Private, Bachelors, Male
123,29, State-gov, Bachelors, Male
124,19, Private, Some-college, Male
125,47, Private, Bachelors, Female
126,20, Private, Some-college, Female
127,31, Private, Assoc-acdm, Male
128,35, ?, HS-grad, Male
129,39, Private, Some-college, Male
130,28, Private, Assoc-acdm, Female
131,24, Private, HS-grad, Female
132,38, Self-emp-not-inc, HS-grad, Male
133,37, Private, Bachelors, Male
134,46, Private, Assoc-acdm, Female
135,38, Federal-gov, Masters, Male
136,43, Self-emp-not-inc, HS-grad, Male
137,27, Private, Assoc-voc, Female
138,20, Private, Some-college, Male
139,49, Private, Some-college, Male
140,61, Self-emp-inc, HS-grad, Male
141,27, Private, Some-college, Female
142,19, Private, Some-college, Male
143,45, Private, Assoc-voc, Female
144,70, Private, Some-college, Male
145,31, Private, HS-grad, Female
146,22, Private, Some-college, Male
147,36, Private, HS-grad, Female
148,64, Private, 11th, Male
149,43, ?, Some-college, Female
150,47, Local-gov, Some-college, Female
151,34, Private, HS-grad, Female
152,33, Private, Bachelors, Female
153,21, Private, HS-grad, Male
154,52, ?, HS-grad, Male
155,48, Private, HS-grad, Male
156,23, Private, Bachelors, Male
157,71, Self-emp-not-inc, Some-college, Male
158,29, Private, HS-grad, Male
159,42, Private, Bachelors, Male
160,68, ?, 1st-4th, Female
161,25, Private, HS-grad, Female
162,44, Self-emp-inc, Masters, Female
163,28, Private, HS-grad, Female
164,45, Self-emp-not-inc, Masters, Male
165,36, Private, Some-college, Female
166,39, Federal-gov, Assoc-acdm, Male
167,46, State-gov, Masters, Male
168,18, Private, 11th, Male
169,66, Local-gov, Assoc-voc, Female
170,27, Private, HS-grad, Male
171,28, State-gov, HS-grad, Male
172,51, Private, Some-college, Male
173,27, Private, Bachelors, Male
174,28, State-gov, Bachelors, Male
175,27, Private, HS-grad, Female
176,21, Private, HS-grad, Male
177,34, Private, HS-grad, Male
178,18, Private, HS-grad, Male
179,33, Private, Bachelors, Male
180,44, Local-gov, Some-college, Male
181,43, Private, Some-college, Female
182,30, Private, Some-college, Male
183,40, Private, 7th-8th, Male
184,37, Federal-gov, Some-college, Male
185,34, Private, HS-grad, Male
186,41, Self-emp-not-inc, Bachelors, Female
187,53, ?, Bachelors, Female
188,31, Private, Masters, Female
189,58, State-gov, Doctorate, Male
190,38, Private, Some-college, Female
191,24, Private, Some-college, Male
192,41, Local-gov, Bachelors, Male
193,47, Private, Some-college, Male
194,41, Federal-gov, Bachelors, Male
195,23, Private, 5th-6th, Male
196,36, Private, Some-college, Male
197,40, Federal-gov, Masters, Female
198,35, Private, Masters, Male
